"","Views","Title","Department","Details","Amount","Date","Place","ID"
"879","28 views","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78299"
"880","34 views","
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 400
                        ","October 12, 2015","Bangalore
                      , Karnataka","78298"
"881","43 views","
                      I Paid Rs. 1000 to Passport in Bangalore.
                    ","Passport","Passport Delivery","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78297"
"882","69 views","
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in New Delhi.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 1,000
                        ","October 12, 2015","New Delhi
                      , Delhi","78296"
"883","37 views","
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78295"
"884","38 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78294"
"885","40 views","
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78293"
"886","34 views","
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78292"
"887","40 views","
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78291"
"888","32 views","
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78290"
"889","36 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78289"
"890","39 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78288"
"891","33 views","
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78287"
"892","37 views","
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78286"
"893","35 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78285"
"894","51 views","
                      I Paid Rs. 90 to Municipal Services in Tirunelveli.
                    ","Municipal Services","Birth Certificate","Paid INR 90
                        ","October 12, 2015","Tirunelveli
                      , Tamil Nadu","78284"
"895","78 views","
                      I Paid Rs. 2000 to Passport in Hyderabad.
                    ","Passport","Police Verification for Passport","Paid INR 2,000
                        ","October 12, 2015","Hyderabad
                      , Telangana","78283"
"896","33 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78282"
